filename,emotion,mfcc
1001_ITS_SAD_XX,NEU,"[-1007.9482    -1007.9482     -960.6194    ...   -17.564842    -11.905664
    -3.7477756]"
1001_ITS_ANG_XX,DIS,"[-846.54865   -846.54865   -846.54865   ...    4.2940426   12.9402
   12.538162 ]"
1001_ITS_FEA_XX,FEA,"[-802.6268    -802.6268    -802.6268    ...   -3.2229114   -7.231529
  -10.090315 ]"
1001_ITS_DIS_XX,NEU,"[-948.9561    -948.9561    -934.7223    ...    9.346643    -3.0826294
    2.0845702]"
1001_TSI_NEU_XX,NEU,"[-896.31445   -896.31445   -893.5337    ...   -7.6654453   -3.1577303
   -6.593316 ]"
1001_TSI_HAP_XX,FEA,"[-7.8503644e+02 -7.8503644e+02 -7.8503644e+02 ... -7.8193545e-01
 -1.2665174e+00  4.0179844e+00]"
1001_TSI_SAD_XX,NEU,"[-938.9771    -938.9771    -921.02234   ...    2.2219517   -8.835169
   -2.0422487]"
1001_TSI_ANG_XX,DIS,"[-841.2932   -841.2932   -840.3888   ...   28.52613     9.441135
   14.895191]"
1001_TSI_FEA_XX,FEA,"[-752.3332    -752.3332    -752.3332    ...    6.8922462    7.6601086
    5.87236  ]"
1001_TSI_DIS_XX,NEU,"[-872.9242    -872.9242    -871.6655    ...   -1.7158271    4.9991765
   -1.76259  ]"
1001_WSI_NEU_XX,NEU,"[-881.1934    -881.1934    -874.46716   ...    3.7896397   -1.3127608
   -2.9036806]"
1001_WSI_HAP_XX,ANG,"[-764.9307   -764.9307   -764.9307   ...   -7.833896   -2.737935
  -14.43972 ]"
1001_WSI_SAD_XX,NEU,"[-899.7549   -899.7549   -899.73535  ...  -17.584797  -20.232277
  -19.358688]"
1001_WSI_ANG_XX,ANG,"[-816.67395   -816.67395   -816.5649    ...    4.342754     1.1313262
    5.207206 ]"
1001_WSI_FEA_XX,ANG,"[-758.1114    -758.1114    -758.1114    ...   -6.509548    -2.5097322
   -5.185421 ]"
1001_WSI_DIS_XX,NEU,"[-908.36755   -908.36755   -896.96027   ...   -3.1256776   -6.2642097
   -9.167506 ]"
1002_IEO_NEU_XX,NEU,"[-9.3692181e+02 -9.3692181e+02 -8.6218085e+02 ...  5.8457031e+00
  1.8326797e+01  7.7633905e-01]"
1002_IEO_HAP_LO,FEA,"[-9.1758429e+02 -9.1758429e+02 -8.2449634e+02 ...  6.3286728e-01
  1.3250697e+01 -4.0653429e+00]"
1002_IEO_HAP_MD,NEU,"[-922.09467   -922.09467   -802.0395    ...   -7.7274227   -7.2003093
   -2.4697776]"
1002_IEO_HAP_HI,HAP,"[-8.3877856e+02 -8.3877856e+02 -7.9363898e+02 ... -7.8467793e+00
 -3.3367056e-01  1.0903813e+01]"
1002_IEO_SAD_LO,SAD,"[-1098.8477   -1079.0073    -872.4332   ...    -4.823431   -10.166784
   -13.257179]"
1002_IEO_SAD_MD,NEU,"[-1067.3159    -1059.1859     -834.4706    ...    14.253498      9.1382675
    -5.355938 ]"
1002_IEO_SAD_HI,NEU,"[-1096.7648    -1072.1147     -840.87634   ...   -14.790619      1.1009111
     7.5725484]"
1002_IEO_ANG_LO,ANG,"[-750.5141    -750.5141    -733.20703   ...   -4.286802    -4.937403
    2.5121336]"
1002_IEO_ANG_MD,ANG,"[-7.9606262e+02 -7.9606262e+02 -7.8244427e+02 ... -9.5415592e-02
  5.9897189e+00 -1.3279248e+00]"
1002_IEO_ANG_HI,DIS,"[-8.5043884e+02 -8.5043884e+02 -8.2859485e+02 ...  6.2598395e-01
 -7.1043744e+00 -5.9322672e+00]"
1002_IEO_FEA_LO,FEA,"[-895.9158    -895.9158    -856.86017   ...   10.019949     1.72014
    5.9430437]"
1002_IEO_FEA_MD,DIS,"[-928.39484   -928.39484   -859.475     ...    3.1941454    2.5730534
   -7.8964977]"
1002_IEO_FEA_HI,FEA,"[-782.234     -782.234     -756.63135   ...   -2.4604297   -6.512826
    2.5625691]"
1002_IEO_DIS_LO,NEU,"[-856.22015   -856.22015   -821.79614   ...   -5.7222557  -12.075607
   -9.958213 ]"
1002_IEO_DIS_MD,FEA,"[-814.71216   -814.71216   -779.62164   ...   -9.3412075  -11.427818
   -6.0653358]"
1002_IEO_DIS_HI,NEU,"[-1003.454     -1003.454      -881.9564    ...    -8.845156    -15.999588
    -5.7015476]"
1002_TIE_HAP_XX,ANG,[-805.53204 -805.53204 -805.53204 ...   76.12242   72.72064   33.69684]
1002_TIE_SAD_XX,SAD,"[-860.31146  -860.31146  -841.2114   ...   -7.224803  -21.029688
   -6.520749]"
1002_TIE_ANG_XX,ANG,"[-752.8645    -752.8645    -752.8645    ...   13.10837      5.0272903
    2.3903623]"
1002_TIE_FEA_XX,FEA,"[-765.12854   -765.12854   -765.12854   ...  -15.617767   -14.9795
   -2.7970757]"
1002_TIE_DIS_XX,DIS,"[-9.5854236e+02 -9.5854236e+02 -9.4694354e+02 ...  3.9643288e-02
 -8.4530354e+00 -2.3101988e+01]"
1002_IOM_NEU_XX,NEU,"[-969.47394   -969.47394   -896.7985    ...   -3.0051198  -10.062017
   -7.924618 ]"
1002_IOM_HAP_XX,NEU,"[-828.2487    -828.2487    -828.2487    ...   -5.4205217  -21.700129
  -10.587877 ]"
1002_IOM_SAD_XX,NEU,"[-9.4976093e+02 -9.4976093e+02 -9.3031702e+02 ...  9.0203085e+00
  6.0923433e+00  6.1295033e-02]"
1002_IOM_ANG_XX,ANG,"[-7.5418030e+02 -7.5418030e+02 -7.5418030e+02 ... -3.7295103e+00
 -6.4644337e-01 -1.3816408e+01]"
1002_IOM_FEA_XX,NEU,"[-840.0046    -840.0046    -840.0046    ...   -9.544397    -5.7358465
  -11.801382 ]"
1002_IOM_DIS_XX,FEA,"[-917.6289    -917.6289    -910.3856    ...   -3.5876658   -6.6486187
  -11.580841 ]"
1002_IWW_NEU_XX,FEA,"[-9.3212140e+02 -9.3212140e+02 -9.2176892e+02 ... -2.3402896e+00
 -5.7676234e+00 -3.4861690e-01]"
1002_IWW_HAP_XX,HAP,"[-882.2027    -882.2027    -876.5493    ...    1.1982265   -8.935802
   -9.172163 ]"
1002_IWW_SAD_XX,NEU,"[-1010.15424   -1010.05316    -939.7316    ...     4.9569626     6.8310513
     3.9739742]"
1002_IWW_ANG_XX,ANG,"[-806.8943   -806.8943   -806.8943   ...   -7.107902  -13.389271
  -16.453093]"
1002_IWW_FEA_XX,FEA,"[-933.21204   -933.21204   -929.10876   ...  -13.285901    -2.8064086
   -9.949438 ]"
1002_IWW_DIS_XX,DIS,"[-865.4175    -865.4175    -865.14667   ...  -13.48643     -5.0794606
    3.623926 ]"
1002_TAI_NEU_XX,NEU,"[-954.5313    -954.5313    -919.83044   ...   -3.9938185   -2.11065
  -12.123053 ]"
1002_TAI_HAP_XX,HAP,"[-860.1372     -860.1372     -850.2384     ...   -0.93943024    0.9475436
    3.4652164 ]"
1002_TAI_SAD_XX,DIS,"[-1006.54456   -1006.52826    -927.9838    ...    -2.0974512    -7.7197056
    -3.8331676]"
1002_TAI_ANG_XX,DIS,"[-822.56915   -822.56915   -822.56915   ...  -15.290065    -1.0997845
   -6.144098 ]"
1002_TAI_FEA_XX,FEA,"[-894.7589    -894.7589    -878.56946   ...    1.8597457   -0.9857006
    2.8601203]"
1002_TAI_DIS_XX,DIS,"[-8.5584387e+02 -8.5584387e+02 -8.5556818e+02 ... -9.8213892e+00
 -2.6232314e-01 -1.4143089e+01]"
1002_MTI_NEU_XX,NEU,"[-962.1527   -962.1527   -946.00665  ...    2.403501  -10.599417
    5.598031]"
1002_MTI_HAP_XX,FEA,"[-853.45386   -853.45386   -852.6719    ...  -16.686855    -7.8279963
   -7.0548334]"
1002_MTI_SAD_XX,FEA,"[-927.2994    -927.2994    -909.3618    ...    3.8865256   -8.355993
   -4.6017675]"
1002_MTI_ANG_XX,DIS,"[-8.7548932e+02 -8.7548932e+02 -8.7530322e+02 ... -1.1601852e+01
 -3.7065840e-01 -1.4535458e+01]"
1002_MTI_FEA_XX,NEU,"[-9.0149353e+02 -9.0149353e+02 -8.9989557e+02 ...  0.0000000e+00
 -1.7417096e-02 -3.2874460e+00]"
1002_MTI_DIS_XX,SAD,"[-8.35789429e+02 -8.35789429e+02 -8.34576721e+02 ... -1.03634632e+00
  1.01935625e-01  5.83261108e+00]"
1002_IWL_NEU_XX,NEU,"[-976.94635   -976.94635   -955.0361    ...  -14.5034895  -11.654175
   -4.660031 ]"
1002_IWL_HAP_XX,NEU,"[-904.8648    -904.8648    -902.9424    ...    1.902808    -5.2723064
   -4.868617 ]"
1002_IWL_SAD_XX,NEU,"[-948.9543    -948.9543    -931.4267    ...   -2.3878922    8.456509
   -9.1600685]"
1002_IWL_ANG_XX,ANG,"[-8.81114075e+02 -8.81114075e+02 -8.80929016e+02 ... -1.59358425e+01
  4.16928887e-01 -5.06619024e+00]"
1002_IWL_FEA_XX,NEU,"[-936.3887    -936.3887    -923.8605    ...   -1.214358    -6.5446544
  -19.438461 ]"
1002_IWL_DIS_XX,NEU,"[-794.08356   -794.08356   -793.97424   ...  -10.298723    -0.8455769
   -2.2856414]"
1002_ITH_NEU_XX,NEU,"[-9.7627588e+02 -9.7617462e+02 -9.4890216e+02 ... -5.1926458e-01
  5.3097348e+00  1.0396644e+01]"
1002_ITH_HAP_XX,FEA,"[-8.5341064e+02 -8.5341064e+02 -8.5293121e+02 ... -1.3029400e+01
 -1.4062746e+01 -3.9151663e-01]"
1002_ITH_SAD_XX,DIS,"[-976.3107    -976.3107    -931.929     ...   -4.253736    -1.359024
    7.2642903]"
1002_ITH_ANG_XX,DIS,"[-8.4172791e+02 -8.4172791e+02 -8.4124774e+02 ...  0.0000000e+00
  0.0000000e+00 -6.8764305e-01]"
1002_ITH_FEA_XX,FEA,"[-930.9538    -930.9538    -922.1064    ...   -3.5816045   -1.0188415
    6.52298  ]"
1002_ITH_DIS_XX,SAD,"[-916.6385    -916.6385    -915.6002    ...    2.8602545    5.266861
    1.7719256]"
1002_DFA_NEU_XX,NEU,"[-9.3816339e+02 -9.3816339e+02 -9.0502051e+02 ... -1.3881258e+00
  1.5849620e-01 -1.1039677e+01]"
1002_DFA_HAP_XX,HAP,"[-865.84283  -865.84283  -865.141    ...   28.715443   38.157055
   30.741018]"
1002_DFA_SAD_XX,NEU,"[-1.0259976e+03 -1.0252794e+03 -9.6925330e+02 ...  1.0483083e+01
 -4.2171993e+00  5.0120044e-01]"
1002_DFA_ANG_XX,ANG,"[-7.8448596e+02 -7.8448596e+02 -7.8448596e+02 ... -1.4112356e+00
 -1.4194731e+01 -2.8162158e-01]"
1002_DFA_FEA_XX,FEA,"[-8.9545648e+02 -8.9545648e+02 -8.9273193e+02 ... -4.8925090e-01
 -7.5395739e-01 -9.3764420e+00]"
1002_DFA_DIS_XX,DIS,"[-928.56714   -928.56714   -921.80536   ...   -1.4763424   -3.5780766
    1.5942793]"
1002_ITS_NEU_XX,FEA,"[-917.95667   -917.95667   -911.7491    ...   -2.7851167    1.3199776
   -1.6655221]"
1002_ITS_HAP_XX,HAP,"[-892.5671    -892.5671    -885.5242    ...    7.0386486    1.3653593
    2.2360709]"
1002_ITS_SAD_XX,NEU,"[-965.40955   -965.40955   -945.76904   ...    6.3716297   -1.1131215
  -15.288397 ]"
1002_ITS_ANG_XX,NEU,"[-918.0482    -918.0482    -905.0781    ...    3.9450042   -7.300452
    4.56074  ]"
1002_ITS_FEA_XX,FEA,"[-922.8715   -922.8715   -915.61     ...  -16.003437   -7.189938
    2.762463]"
1002_ITS_DIS_XX,SAD,"[-962.8314    -962.8314    -957.39014   ...   -1.3582671   -9.310834
   -4.3302116]"
1002_TSI_NEU_XX,NEU,"[-9.7035431e+02 -9.7035431e+02 -9.5530255e+02 ... -1.2212397e+01
  5.2748885e+00 -1.9806662e-01]"
1002_TSI_HAP_XX,FEA,"[-886.63385  -886.63385  -886.5177   ...   -8.909084  -14.856266
  -11.505884]"
1002_TSI_SAD_XX,NEU,"[-1.0588097e+03 -1.0560052e+03 -9.4736163e+02 ... -4.6394677e+00
 -1.9249156e-01  1.3143730e+01]"
1002_TSI_ANG_XX,ANG,"[-830.0388    -830.0388    -829.88983   ...    4.9310036    7.9973035
    5.476003 ]"
1002_TSI_FEA_XX,NEU,"[-958.7983   -958.7983   -919.42694  ...    8.722725  -13.737865
  -14.68508 ]"
1002_TSI_DIS_XX,DIS,"[-819.1964    -819.1964    -818.74426   ...   -4.2966123   -3.129222
    7.587888 ]"
1002_WSI_NEU_XX,NEU,"[-955.7748    -955.7748    -916.01245   ...   -8.343634   -11.691706
  -10.1362705]"
1002_WSI_HAP_XX,ANG,"[-913.1073    -913.1073    -903.4946    ...   -7.2508173   -5.9850063
    1.8655071]"
1002_WSI_SAD_XX,NEU,"[-1.0106602e+03 -1.0104340e+03 -9.3195172e+02 ... -7.6796231e+00
  2.7044344e+00 -6.4439034e-01]"
1002_WSI_ANG_XX,ANG,"[-789.41736  -789.41736  -789.41547  ...  -12.401494  -16.209349
   -7.661702]"
1002_WSI_FEA_XX,NEU,"[-853.3623    -853.3623    -853.2911    ...   -7.8605614    3.7377515
   10.62382  ]"
1002_WSI_DIS_XX,ANG,"[-753.53973   -753.53973   -753.53973   ...   -0.8442949   11.993409
  -11.3597355]"
1003_IEO_NEU_XX,NEU,"[-938.69116  -938.69116  -931.52997  ...   29.996359   11.13789
    8.797409]"
1003_IEO_HAP_LO,NEU,"[-919.25977   -919.25977   -914.9032    ...    5.7344427    3.2302651
   16.325844 ]"
1003_IEO_HAP_MD,NEU,"[-940.9385   -940.9385   -921.5084   ...   14.520809   23.531046
   27.263214]"
1003_IEO_HAP_HI,HAP,"[-904.9531    -904.9531    -903.7997    ...   -6.9149084    7.1873264
    5.537421 ]"
1003_IEO_SAD_LO,NEU,"[-1047.2684    -1045.2311     -937.89825   ...     1.4712387    -5.1666193
   -12.258453 ]"
1003_IEO_SAD_MD,NEU,"[-1.0245968e+03 -1.0243733e+03 -9.5143201e+02 ... -7.5283116e-01
 -5.0385370e+00  4.3510914e-02]"
1003_IEO_SAD_HI,NEU,"[-1048.948     -1047.6758     -908.7625    ...    -4.9813085    -6.5332217
    13.406757 ]"
1003_IEO_ANG_LO,DIS,"[-792.7123    -792.7123    -792.7123    ...   -8.983902    -6.608203
   -1.8162924]"
1003_IEO_ANG_MD,ANG,"[-7.4199792e+02 -7.4199792e+02 -7.4199792e+02 ...  5.3882446e+00
  3.6743412e+00 -7.2586238e-03]"
1003_IEO_ANG_HI,ANG,"[-733.68774   -733.68774   -733.68774   ...    2.6912878   -7.10637
   -2.6171303]"
1003_IEO_FEA_LO,DIS,"[-9.6302832e+02 -9.6302832e+02 -9.2178461e+02 ... -2.2587888e+00
 -7.7456236e-02 -4.4158649e+00]"
1003_IEO_FEA_MD,NEU,"[-1037.6362    -1037.1833     -948.65466   ...   -13.82222      -4.1354833
     4.154118 ]"
1003_IEO_FEA_HI,NEU,"[-917.6699    -917.6699    -910.6893    ...  -10.836706    -2.6766212
   -2.417593 ]"
1003_IEO_DIS_LO,NEU,"[-1007.51495   -1007.3075     -975.5817    ...    -2.2641668     5.3898244
     6.1478844]"
1003_IEO_DIS_MD,NEU,"[-967.1642    -967.1642    -940.7553    ...   -6.778104    -7.604181
    1.5332867]"
1003_IEO_DIS_HI,DIS,"[-9.2371594e+02 -9.2371594e+02 -9.1165485e+02 ...  9.6944928e-02
 -2.8229678e-01 -6.5779681e+00]"
1003_TIE_NEU_XX,NEU,"[-958.8476   -958.8476   -909.63794  ...    9.535985   16.200296
    9.168118]"
1003_TIE_HAP_XX,HAP,"[-978.0014    -978.0014    -953.548     ...    4.4067564   -4.5249443
   -8.914654 ]"
1003_TIE_SAD_XX,SAD,"[-9.5848364e+02 -9.5848364e+02 -9.4066949e+02 ... -9.0081507e-01
 -9.3920956e+00 -3.9437819e+00]"
1003_TIE_ANG_XX,ANG,"[-788.17737   -788.17737   -788.17737   ...   -4.293897    -7.2051992
   -3.4436188]"
1003_TIE_FEA_XX,FEA,"[-825.1356     -825.1356     -825.1356     ...   -1.6397457    -0.83953667
  -14.626454  ]"
1003_TIE_DIS_XX,ANG,"[-9.2153186e+02 -9.2153186e+02 -9.0292859e+02 ...  1.4817052e+00
  3.8055038e-01 -3.9067736e+00]"
1003_IOM_NEU_XX,NEU,"[-893.42206   -893.42206   -891.1517    ...    7.978194    -5.96783
   -6.3978014]"
1003_IOM_HAP_XX,HAP,"[-9.4518597e+02 -9.4518597e+02 -8.8820361e+02 ...  3.0762851e-03
 -5.1827064e+00  4.1286716e+00]"
1003_IOM_SAD_XX,SAD,"[-1026.6819    -1025.809      -923.52686   ...    -9.399648      1.8055857
     3.0087667]"
1003_IOM_ANG_XX,ANG,"[-770.29486   -770.29486   -770.29486   ...   -5.521745    -3.755648
   -2.2769718]"
1003_IOM_FEA_XX,SAD,"[-1007.698     -1007.5477     -963.10394   ...    -5.1606836     2.8389735
     9.288151 ]"
1003_IOM_DIS_XX,DIS,"[-934.68665   -934.68665   -923.93805   ...    9.808695    14.375015
   -2.2766132]"
1003_IWW_NEU_XX,NEU,"[-938.2361    -938.2361    -921.4946    ...   -5.9079056    3.283857
   -2.5577557]"
1003_IWW_HAP_XX,HAP,"[-851.1088    -851.1088    -850.81104   ...    6.131253    -5.0972805
   -8.321703 ]"
1003_IWW_SAD_XX,FEA,"[-1038.6708    -1038.2332     -942.74786   ...   -12.018568      6.9695883
     8.779137 ]"
1003_IWW_ANG_XX,ANG,"[-782.86224   -782.86224   -782.86224   ...   -2.2348864   -5.9597235
   -4.248704 ]"
1003_IWW_FEA_XX,FEA,"[-8.9258228e+02 -8.9258228e+02 -8.8925531e+02 ...  7.3598480e-01
 -7.5732785e-01  2.6041591e+00]"
1003_IWW_DIS_XX,FEA,"[-1015.8343    -1015.4506     -935.59796   ...    -4.200033      4.3177156
     4.0523734]"
1003_TAI_NEU_XX,NEU,"[-912.96075   -912.96075   -912.27496   ...    7.1553597    5.7869577
    2.9843736]"
1003_TAI_HAP_XX,FEA,"[-873.73065   -873.73065   -873.73065   ...    3.2866092   -6.4806185
    2.4049535]"
1003_TAI_SAD_XX,SAD,"[-984.4468   -984.4468   -960.6457   ...   -5.099048  -12.332504
    4.972929]"
1003_TAI_ANG_XX,FEA,"[-735.5157    -735.5157    -735.5157    ...   -4.6196203   -3.35704
    8.850985 ]"
1003_TAI_FEA_XX,SAD,"[-937.53326   -937.53326   -926.1807    ...    5.96562     -7.8974805
   -5.4218225]"
1003_TAI_DIS_XX,DIS,"[-9.6471674e+02 -9.6471674e+02 -9.4469440e+02 ... -6.8374228e-01
 -1.3645090e+01 -1.1000116e+01]"
1003_MTI_NEU_XX,NEU,"[-9.1701245e+02 -9.1701245e+02 -9.0660309e+02 ...  1.0674883e+01
 -2.1699438e+00 -6.4388216e-01]"
